This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Thu Jan 09 13:58:15 2025
Filter Values: disposition contains CP

"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Stellar Mass (M_Sun)","Stellar Mass error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"266980320","118.01","","2","5","5","4","4","2","4","15.5","105.9","18.15","5","5","7","CP","CP","9.179","0.006","1","qlp-s68-ffi","SPOC","349.559266","-56.903986","313.918","0.039","-20.177","0.043","2460175.749118","0.0010809","6.0344667","0.0000059","1.89","0.109","1.956086","0.054389","1800","50.0931","4.44029","0.243975","64.2648","788","42","94.1719","0.2512","5586","187","4.36763","0.270247","1.05","0.05","","","0.97","0.120939","1,28,68","HD 219666 b","2018-09-05","2023-11-15","2023-12-08"
"394137592","120.01","","3","5","5","3","4","4","4","79.7","229.1","90.88","0","1","4","CP","CP","7.1062","0.006","1","sector-01-spoc-alerts","SPOC","4.447163","-66.358928","64.763","0.049","-5.056","0.041","2458332.082805","0.000707","11.535076","0.001035","8.555958","0.069027","2.597913","0.031416","2389.90616","28.935114","12.215808","1.480912","","","32.9","79.5702","0.17345","5479.3","57","3.77","0.08","2.48771","0.298399","-0.02","0.09","0.96","0.124471","1","HD 1397 b	","2018-09-05","2021-12-07","2022-12-14"
"231702397","122.01","","2","5","5","2","4","3","4","3.2","66.8","7.46","11","1","5","CP","CP","13.084","0.007","1","spoc-s01-s69-b0A-CP","SPOC","332.948236","-58.946085","138.138","0.089","-235.81","0.076","2458329.118988","0.0008659716","5.07803253492","0.0000076383885","1.2100353070191","0.27777362","6.450076","0.465919","5923.1283068509","429.03534","2.634776336268","0.68248564","8.1743138648138","431.25364398362","15.281929","62.118","0.2158","3318","64","4.9581","0.407256","0.33412501215935","0.0100409","","","0.315858","0.0202514","1,27,28,67,68","TOI-122 b","2018-09-05","2024-09-09","2024-10-01"
"290131778","123.01","","3","5","5","5","4","5","3","410.6","671.4","317","3","21","14","CP","CP","7.87598","0.011","1","qlp-s68-ffi","SPOC/QLP","319.699588","-26.616374","23.236","0.157","-57.557","0.152","2460175.035028","0.0012834","3.3088922","0.0000071","6.114","0.702","5.154262","2.462493","4736","2265.47","24.9862","3.98163","17074.7","3184","133","161.498","2.4235","6188","194","4.27166","2.00586","2.62","0.13","","","1.263","0.201024","1,28,68","HD 202772 A b","2018-09-05","2023-11-15","2023-12-08"
"52368076","125.01","","1","5","5","5","4","1","2","5.5","56.7","7.65","15","6","5","CP","CP","10.1985","0.006","1","qlp-s69-ffi","SPOC/QLP","23.593425","-66.676349","-119.8","0.066","-122.953","0.08","2460206.744249","0.0019795","4.6517186","0.0000083","2.709","0.921","1.06237","0.086613","978","79.7705","2.66889","0.203698","540.772","1343","26","111.059","0.442","5154","182","4.47072","0.28501","0.85","0.05","","","0.91","0.110203","1,2,28,68,69","TOI-125 b / TOI 125.01","2018-10-19","2023-11-15","2023-12-08"
"52368076","125.02","","2","5","5","5","4","4","2","3.2","44.2","7.42","15","6","5","CP","CP","10.1985","0.006","2","qlp-s69-ffi","SPOC","23.593425","-66.676349","-119.8","0.066","-122.953","0.08","2460202.049893","0.0032682","9.1549418","0.0000249","2.457","0.341","1.196054","0.065582","1101","60.4017","2.62011","0.183373","42.2592","710","18","111.059","0.442","5154","182","4.47072","0.28501","0.85","0.05","","","0.91","0.110203","1,2,28,68,69","TOI-125 c / TOI-125.02","2018-10-19","2024-10-02","2024-10-03"
"52368076","125.03","","1","5","5","5","4","4","1","1.5","32.8","7.07","15","6","5","CP","CP","10.1985","0.006","3","qlp-s69-ffi","SPOC","23.593425","-66.676349","-119.8","0.066","-122.953","0.08","2460181.146579","0.0052731","19.9815709","0.0000896","2.724","0.716","0.987383","0.076907","909","70.8314","2.54717","0.192388","16.5853","562","10","111.059","0.442","5154","182","4.47072","0.28501","0.85","0.05","","","0.91","0.110203","1,2,28,68,69","TOI-125 d","2018-10-19","2023-10-18","2023-10-19"
"234523599","127.01","","5","5","5","5","4","5","5","34.9","146.7","76","3","0","0","CP","CP","14.1266","0.007","1","spoc-s01-s36-b0A-CPKP","SPOC","15.551889","-61.756133","78.858","0.087","-27.095","0.064","2458325.650603","0.00024310609","3.795517783809","0.0000022713773","2.0198134847305","0.031575486","58.298733","0.608638","52278.994097885","560.4189","10.32616194771","0.33078393","18.083233597032","525.94311313137","75.709694","140.225","0.86","3424","","4.438","","0.44537198543549","0.01356","","","0.44159","0.0205201","1,2,28,29","HATS-71 b","2018-11-14","2021-12-09","2022-12-14"
"201248411","129.01","","3","5","5","3","4","4","4","108.7","330.7","29.49","12","1","1","CP","CP","9.9005","0.006","1","spoc-s01-s36-b0A-CPKP","SPOC","0.185606","-54.830823","-202.815","0.031","-71.518","0.029","2460205.646862","0.000584","0.980972","5e-7","0.54050355175474","0.026238935","6.728913","0.065402","6178.3924209755","60.235405","5.9162923332499","0.7808294","719.56290446087","1320.9517090415","167.35898","61.7856","0.0805","4486","175","4.49914","0.338797","0.76440101861954","0.0628191","","","0.7","0.0867846","1,2,28,29,68,69","TOI 129.01 / HIP 65 A b","2018-10-22","2023-11-15","2023-11-15"
"263003176","130.01","","3","5","5","5","4","3","4","4.3","73.4","5.9","2","9","5","CP","CP","7.4371","0.006","1","spoc-s01-s69-b0A-CP","SPOC","12.546778","-83.743767","139.424","0.056","30.476","0.042","2458336.557651","0.0011119779","14.33921442256","0.00002232218","4.6064738553285","0.35378832","0.426381","0.013446","392.63468715086","12.384206","2.2963232600569","0.759807","118.75384884107","841.94102757327","32.31029","57.5846","0.0945","6295.7","56.481","4.438","","1.1374200582504","0.0451659","","","1.23","0.18151","1,12,13,27,39,66","HD 5278 b","2018-09-05","2024-09-17","2024-10-01"
