HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux,flux_err,Filter
2459595.87671,2022-01-16.3736776,bs,1.52,15.501,11.598,0.013,83.323,0.983,g
2459595.87794,2022-01-16.3749053,bs,1.55,15.440,11.608,0.013,82.544,0.996,g
2459595.87917,2022-01-16.3761322,bs,1.51,15.453,11.611,0.013,82.352,0.960,g
2459595.91463,2022-01-16.4116015,bs,1.53,15.476,11.603,0.013,82.965,0.985,g
2459595.91588,2022-01-16.4128498,bs,1.51,15.457,11.595,0.012,83.542,0.961,g
2459595.91711,2022-01-16.4140799,bs,1.54,15.466,11.588,0.013,84.110,1.008,g
2459597.80482,2022-01-18.3016730,bs,1.55,15.173,11.578,0.015,84.910,1.143,g
2459597.80607,2022-01-18.3029158,bs,1.52,15.261,11.597,0.013,83.427,1.033,g
2459597.80732,2022-01-18.3041659,bs,1.52,15.322,11.590,0.013,83.950,1.039,g
2459600.05617,2022-01-20.5528815,bC,1.75,15.472,11.607,0.012,82.668,0.956,g
2459600.05743,2022-01-20.5541410,bC,1.82,15.477,11.605,0.012,82.760,0.944,g
2459600.05869,2022-01-20.5554085,bC,1.86,15.500,11.614,0.013,82.129,0.954,g
2459602.04458,2022-01-22.5411931,bC,1.67,15.569,11.594,0.013,83.704,0.972,g
2459602.04585,2022-01-22.5424550,bC,1.71,15.553,11.618,0.013,81.771,0.957,g
2459602.04710,2022-01-22.5437109,bC,1.65,15.566,11.597,0.013,83.416,0.971,g
2459602.06724,2022-01-22.5638513,bC,1.66,15.513,11.599,0.013,83.210,1.007,g
2459602.06852,2022-01-22.5651295,bC,1.80,15.549,11.598,0.013,83.309,1.005,g
2459602.06978,2022-01-22.5663973,bC,1.62,15.598,11.603,0.013,82.971,0.992,g
2459602.13192,2022-01-22.6285258,bC,1.90,15.547,11.574,0.013,85.178,0.987,g
2459602.13319,2022-01-22.6297899,bC,2.07,15.552,11.607,0.013,82.672,0.957,g
2459602.13444,2022-01-22.6310517,bC,1.80,15.533,11.573,0.013,85.307,0.975,g
2459603.90511,2022-01-24.4016225,bC,1.78,15.496,11.569,0.012,85.583,0.960,g
2459603.90639,2022-01-24.4028981,bC,1.72,15.506,11.561,0.012,86.220,0.938,g
2459603.90767,2022-01-24.4041728,bC,1.87,15.517,11.574,0.013,85.143,0.978,g
2459603.92611,2022-01-24.4226201,bC,1.82,15.507,11.587,0.012,84.151,0.951,g
2459603.92735,2022-01-24.4238652,bC,1.80,15.515,11.577,0.012,84.949,0.949,g
2459603.92861,2022-01-24.4251222,bC,1.75,15.521,11.578,0.012,84.865,0.927,g
2459604.85253,2022-01-25.3489928,bs,1.47,15.509,11.601,0.012,83.175,0.919,g
2459604.85378,2022-01-25.3502386,bs,1.47,15.514,11.568,0.012,85.661,0.952,g
2459604.85501,2022-01-25.3514684,bs,1.45,15.514,11.587,0.013,84.219,0.979,g
2459606.05053,2022-01-26.5469282,bC,1.52,15.651,11.653,0.013,79.195,0.943,g
2459606.05181,2022-01-26.5482052,bC,1.55,15.648,11.643,0.013,79.964,0.963,g
2459606.05306,2022-01-26.5494645,bC,1.55,15.627,11.632,0.013,80.733,1.014,g
2459607.89029,2022-01-28.3866005,bC,1.43,15.596,11.645,0.012,79.829,0.900,g
2459607.89156,2022-01-28.3878693,bC,1.44,15.588,11.631,0.013,80.845,0.952,g
2459607.89284,2022-01-28.3891429,bC,1.45,15.587,11.634,0.012,80.609,0.909,g
2459607.93561,2022-01-28.4319219,bC,1.43,15.638,11.635,0.012,80.558,0.938,g
2459607.93687,2022-01-28.4331826,bC,1.42,15.640,11.640,0.012,80.190,0.918,g
2459607.93814,2022-01-28.4344515,bC,1.44,15.650,11.642,0.012,80.029,0.930,g
2459609.94289,2022-01-30.4391118,bC,1.40,15.642,11.643,0.013,80.011,0.942,g
2459609.94417,2022-01-30.4403826,bC,1.45,15.642,11.627,0.013,81.131,0.958,g
2459609.94543,2022-01-30.4416468,bC,1.39,15.649,11.643,0.013,79.907,0.938,g
2459609.99301,2022-01-30.4892225,bC,1.64,15.646,11.628,0.012,81.072,0.925,g
2459609.99426,2022-01-30.4904795,bC,1.65,15.663,11.648,0.012,79.562,0.885,g
2459609.99552,2022-01-30.4917413,bC,1.67,15.651,11.644,0.012,79.862,0.904,g
2459615.93902,2022-02-05.4349866,bC,1.42,15.681,11.699,0.013,75.903,0.863,g
2459615.94029,2022-02-05.4362554,bC,1.43,15.672,11.687,0.013,76.786,0.868,g
2459615.94156,2022-02-05.4375184,bC,1.45,15.670,11.686,0.013,76.797,0.872,g
2459617.86569,2022-02-07.3615781,bC,1.56,15.576,11.690,0.013,76.581,0.889,g
2459617.86695,2022-02-07.3628407,bC,1.55,15.582,11.683,0.013,77.038,0.910,g
2459617.86822,2022-02-07.3641070,bC,1.59,15.585,11.686,0.013,76.846,0.887,g
2459617.91187,2022-02-07.4077643,bC,1.45,15.668,11.673,0.012,77.758,0.903,g
2459617.91315,2022-02-07.4090307,bC,1.47,15.647,11.673,0.013,77.780,0.889,g
2459617.91440,2022-02-07.4102924,bC,1.51,15.667,11.693,0.013,76.349,0.892,g
2459619.88402,2022-02-09.3798475,bC,1.36,15.629,11.709,0.013,75.236,0.884,g
2459619.88529,2022-02-09.3811120,bC,1.42,15.619,11.691,0.013,76.513,0.894,g
2459619.88656,2022-02-09.3823864,bC,1.44,15.599,11.681,0.013,77.199,0.912,g
2459620.81852,2022-02-10.3143130,bs,1.49,15.641,11.660,0.012,78.697,0.855,g
2459620.81977,2022-02-10.3155686,bs,1.50,15.669,11.699,0.012,75.955,0.797,g
2459620.82101,2022-02-10.3168078,bs,1.47,15.635,11.654,0.011,79.144,0.809,g
2459621.74886,2022-02-11.2446172,bs,1.48,15.586,11.676,0.012,77.566,0.845,g
2459621.75010,2022-02-11.2458626,bs,1.46,15.578,11.671,0.012,77.904,0.865,g
2459621.75132,2022-02-11.2470915,bs,1.47,15.617,11.713,0.012,74.913,0.845,g
2459623.84698,2022-02-13.3426780,bC,1.54,15.457,11.696,0.013,76.133,0.936,g
2459623.84822,2022-02-13.3439280,bC,1.49,15.453,11.708,0.013,75.348,0.911,g
2459623.84949,2022-02-13.3451920,bC,1.43,15.462,11.697,0.013,76.097,0.918,g
2459625.05811,2022-02-14.5537711,bC,2.04,15.552,11.713,0.012,74.932,0.848,g
2459625.05936,2022-02-14.5550232,bC,2.04,15.587,11.720,0.012,74.507,0.858,g
2459625.06061,2022-02-14.5562839,bC,2.04,15.569,11.720,0.012,74.473,0.812,g
2459632.83287,2022-02-22.3283721,bC,1.51,15.620,11.718,0.013,74.619,0.880,g
2459632.83415,2022-02-22.3296468,bC,1.41,15.631,11.713,0.013,74.999,0.873,g
2459632.83542,2022-02-22.3309259,bC,1.44,15.627,11.701,0.013,75.844,0.890,g
2459634.01739,2022-02-23.5128696,bC,1.69,15.674,11.714,0.013,74.862,0.865,g
2459634.01865,2022-02-23.5141371,bC,1.73,15.668,11.708,0.013,75.351,0.877,g
2459634.01991,2022-02-23.5153902,bC,1.67,15.656,11.720,0.012,74.425,0.848,g
2459636.83493,2022-02-26.3303759,bC,1.87,15.585,11.679,0.011,77.341,0.807,g
2459636.83620,2022-02-26.3316459,bC,1.63,15.616,11.689,0.012,76.649,0.847,g
2459636.83746,2022-02-26.3329063,bC,1.65,15.623,11.700,0.012,75.903,0.864,g
2459637.81420,2022-02-27.3096317,bs,1.43,15.686,11.698,0.012,76.003,0.832,g
2459637.81544,2022-02-27.3108721,bs,1.45,15.675,11.671,0.012,77.896,0.854,g
2459637.81668,2022-02-27.3121196,bs,1.43,15.672,11.655,0.012,79.089,0.880,g
2459637.85224,2022-02-27.3476821,bs,1.43,15.673,11.668,0.012,78.116,0.860,g
2459637.85348,2022-02-27.3489158,bs,1.46,15.688,11.679,0.011,77.305,0.825,g
2459637.85472,2022-02-27.3501663,bs,1.45,15.678,11.678,0.012,77.438,0.843,g
2459637.89388,2022-02-27.3893231,bs,1.63,15.671,11.684,0.012,77.027,0.850,g
2459637.89511,2022-02-27.3905497,bs,1.55,15.664,11.666,0.012,78.252,0.864,g
2459637.89635,2022-02-27.3917915,bs,1.51,15.672,11.676,0.012,77.558,0.862,g
2459639.91799,2022-03-01.4134182,bC,1.44,15.676,11.685,0.013,76.924,0.888,g
2459639.91927,2022-03-01.4146918,bC,1.42,15.684,11.680,0.012,77.267,0.883,g
2459639.92051,2022-03-01.4159362,bC,1.42,15.690,11.678,0.012,77.394,0.881,g
2459639.95274,2022-03-01.4481622,bC,1.42,15.700,11.676,0.012,77.535,0.882,g
2459639.95401,2022-03-01.4494309,bC,1.40,15.696,11.672,0.012,77.801,0.900,g
2459639.95527,2022-03-01.4506915,bC,1.38,15.698,11.679,0.012,77.329,0.889,g
2459643.83404,2022-03-05.3294509,bC,1.45,15.647,11.674,0.013,77.694,0.906,g
2459643.83532,2022-03-05.3307265,bC,1.41,15.643,11.675,0.013,77.643,0.903,g
